FREQ,Frequency,REF_AREA,Territory of previous residence,DATA_TYPE,Indicator,CHANGE_OF_RESIDENCE,Change of residence,CITIZENSHIP,Citizenship (DESC),SEX,Gender,AGE,Age (DESC),Time (TIME_PERIOD),Observation,OBS_STATUS,Observation status
A,Annual,ITC,Nord-ovest,TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2019,16493,,
A,Annual,ITC,Nord-ovest,TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2020,18236,,
A,Annual,ITC,Nord-ovest,TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2021,14422,,
A,Annual,ITC,Nord-ovest,TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2022,15847,,
A,Annual,ITD,Nord-est,TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2014,8856,,
A,Annual,ITD,Nord-est,TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2015,10059,,
A,Annual,ITD,Nord-est,TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2016,11901,,
A,Annual,ITD,Nord-est,TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2017,12181,,
A,Annual,ITD,Nord-est,TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2018,12863,,
A,Annual,ITD,Nord-est,TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2019,13502,,
A,Annual,ITD,Nord-est,TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2020,13350,,
A,Annual,ITD,Nord-est,TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2021,10703,,
A,Annual,ITD,Nord-est,TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2022,12202,,
A,Annual,ITE,Centro (I),TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2014,7712,,
A,Annual,ITE,Centro (I),TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2015,8730,,
A,Annual,ITE,Centro (I),TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2016,10825,,
A,Annual,ITE,Centro (I),TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2017,10457,,
A,Annual,ITE,Centro (I),TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2018,11054,,
A,Annual,ITE,Centro (I),TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2019,10350,,
A,Annual,ITE,Centro (I),TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2020,10168,,
A,Annual,ITE,Centro (I),TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2021,8184,,
A,Annual,ITE,Centro (I),TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2022,9033,,
A,Annual,ITFG,Mezzogiorno,TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2014,15463,,
A,Annual,ITFG,Mezzogiorno,TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2015,17692,,
A,Annual,ITFG,Mezzogiorno,TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2016,21465,,
A,Annual,ITFG,Mezzogiorno,TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2017,22097,,
A,Annual,ITFG,Mezzogiorno,TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2018,22400,,
A,Annual,ITFG,Mezzogiorno,TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2019,27718,,
A,Annual,ITFG,Mezzogiorno,TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2020,23091,,
A,Annual,ITFG,Mezzogiorno,TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2021,17388,,
A,Annual,ITFG,Mezzogiorno,TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2022,18439,,
