Area,Economic activity,Time period,"Hourly wage no educational degree, primary and lower secondary school certificate (€)",Hourly wage upper and post secondary (€),"Hourly wage tertiary (university, doctoral and specialization courses) (€)"
Nord-est,Wholesale and retail trade repair of motor vehicles and motorcycles,2014,11.43,11.7,12.96
Nord-est,Wholesale and retail trade repair of motor vehicles and motorcycles,2015,11.51,11.76,13.01
Nord-est,Wholesale and retail trade repair of motor vehicles and motorcycles,2016,11.59,11.92,13.19
Nord-est,Wholesale and retail trade repair of motor vehicles and motorcycles,2017,11.69,12.02,13.41
Nord-est,Wholesale and retail trade repair of motor vehicles and motorcycles,2018,11.79,12.16,13.57
Nord-est,Wholesale and retail trade repair of motor vehicles and motorcycles,2019,11.92,12.34,13.92
Nord-est,Wholesale and retail trade repair of motor vehicles and motorcycles,2020,12.05,12.48,14.04
Nord-est,Wholesale and retail trade repair of motor vehicles and motorcycles,2021,11.99,12.43,14.12
Nord-est,Transportation and storage,2014,11.44,13.5,13.44
Nord-est,Transportation and storage,2015,11.63,13.62,13.56
Nord-est,Transportation and storage,2016,11.78,13.54,13.64
Nord-est,Transportation and storage,2017,11.84,13.55,13.63
Nord-est,Transportation and storage,2018,11.93,13.61,13.82
Nord-est,Transportation and storage,2019,12.19,13.42,14.08
Nord-est,Transportation and storage,2020,12.45,13.84,14.24
Nord-est,Transportation and storage,2021,12.41,13.85,14.61
Nord-est,Accommodation and food service activities,2014,10.27,10.43,10.46
Nord-est,Accommodation and food service activities,2015,10.32,10.49,10.56
Nord-est,Accommodation and food service activities,2016,10.32,10.5,10.6
Nord-est,Accommodation and food service activities,2017,10.36,10.51,10.64
Nord-est,Accommodation and food service activities,2018,10.44,10.61,10.74
Nord-est,Accommodation and food service activities,2019,10.51,10.68,10.83
Nord-est,Accommodation and food service activities,2020,10.7,10.84,11.03
Nord-est,Accommodation and food service activities,2021,10.67,10.86,11.03
Nord-est,Information and communication,2014,12.67,14.0,14.81
Nord-est,Information and communication,2015,12.99,14.29,14.81
Nord-est,Information and communication,2016,12.62,14.3,14.95
Nord-est,Information and communication,2017,12.76,14.41,15.16
Nord-est,Information and communication,2018,12.56,14.35,15.22
Nord-est,Information and communication,2019,12.72,14.32,15.75
Nord-est,Information and communication,2020,13.36,14.69,15.76
Nord-est,Information and communication,2021,12.94,14.7,15.91
Nord-est,Financial and insurance activities,2014,18.68,22.71,20.03
Nord-est,Financial and insurance activities,2015,18.22,22.62,20.28
Nord-est,Financial and insurance activities,2016,18.55,22.83,20.68
Nord-est,Financial and insurance activities,2017,18.41,22.89,20.81
Nord-est,Financial and insurance activities,2018,17.79,22.86,21.14
Nord-est,Financial and insurance activities,2019,18.74,22.99,21.84
Nord-est,Financial and insurance activities,2020,17.59,23.43,21.98
Nord-est,Financial and insurance activities,2021,18.17,23.65,22.44
Nord-est,Real estate activities,2014,10.47,11.33,12.07
Nord-est,Real estate activities,2015,10.64,11.29,11.76
Nord-est,Real estate activities,2016,10.9,11.63,11.94
Nord-est,Real estate activities,2017,10.81,11.46,11.99
Nord-est,Real estate activities,2018,10.87,11.58,12.24
Nord-est,Real estate activities,2019,10.93,11.62,12.36
Nord-est,Real estate activities,2020,11.15,11.76,12.65
Nord-est,Real estate activities,2021,11.12,11.79,12.94
Nord-est,"Professional, scientific and technical activities",2014,10.65,11.72,12.9
Nord-est,"Professional, scientific and technical activities",2015,10.87,11.91,12.87
Nord-est,"Professional, scientific and technical activities",2016,10.68,11.93,12.85
Nord-est,"Professional, scientific and technical activities",2017,10.79,12.16,13.11
Nord-est,"Professional, scientific and technical activities",2018,10.79,12.21,13.18
Nord-est,"Professional, scientific and technical activities",2019,10.92,12.37,13.57
Nord-est,"Professional, scientific and technical activities",2020,11.34,12.59,13.78
Nord-est,"Professional, scientific and technical activities",2021,11.6,12.68,14.04
Nord-est,Administrative and support service activities,2014,9.33,10.03,10.85
Nord-est,Administrative and support service activities,2015,9.7,10.42,11.23
Nord-est,Administrative and support service activities,2016,9.72,10.39,11.29
Nord-est,Administrative and support service activities,2017,9.88,10.54,11.42
Nord-est,Administrative and support service activities,2018,9.78,10.5,11.45
Nord-est,Administrative and support service activities,2019,9.89,10.64,11.88
Nord-est,Administrative and support service activities,2020,10.0,10.69,12.0
Nord-est,Administrative and support service activities,2021,10.11,10.72,11.89
Nord-est,Education,2014,9.68,10.7,13.1
Nord-est,Education,2015,10.0,10.97,13.32
Nord-est,Education,2016,10.15,11.06,13.63
Nord-est,Education,2017,10.38,11.5,14.77
Nord-est,Education,2018,10.63,11.37,13.36
Nord-est,Education,2019,10.62,11.57,13.27
Nord-est,Education,2020,10.75,11.74,13.43
Nord-est,Education,2021,10.46,11.48,13.35
Nord-est,Human health and social work activities,2014,9.73,10.03,10.9
Nord-est,Human health and social work activities,2015,9.65,10.01,10.82
Nord-est,Human health and social work activities,2016,9.82,10.15,10.95
Nord-est,Human health and social work activities,2017,10.0,10.34,11.08
Nord-est,Human health and social work activities,2018,9.98,10.31,11.03
Nord-est,Human health and social work activities,2019,10.15,10.5,11.33
Nord-est,Human health and social work activities,2020,10.33,10.71,11.6
Nord-est,Human health and social work activities,2021,10.35,10.72,11.61
Nord-est,"Arts, entertainment and recreation",2014,10.28,10.65,10.39
Nord-est,"Arts, entertainment and recreation",2015,10.3,10.66,10.59
Nord-est,"Arts, entertainment and recreation",2016,10.25,10.75,10.73
Nord-est,"Arts, entertainment and recreation",2017,10.3,10.76,10.84
Nord-est,"Arts, entertainment and recreation",2018,10.44,10.9,10.98
Nord-est,"Arts, entertainment and recreation",2019,10.62,11.16,11.19
Nord-est,"Arts, entertainment and recreation",2020,10.68,11.12,11.43
Nord-est,"Arts, entertainment and recreation",2021,10.52,11.0,11.29
Nord-est,Other service activities,2014,8.11,8.39,10.36
Nord-est,Other service activities,2015,8.23,8.58,10.33
Nord-est,Other service activities,2016,8.28,8.7,10.31
Nord-est,Other service activities,2017,8.28,8.77,10.38
Nord-est,Other service activities,2018,8.29,8.79,10.33
Nord-est,Other service activities,2019,8.3,8.86,10.49
Nord-est,Other service activities,2020,8.45,9.06,10.84
Nord-est,Other service activities,2021,8.45,9.17,11.01
Centro (I),TOTAL,2014,10.4,11.19,13.85
Centro (I),TOTAL,2015,10.55,11.31,13.76
Centro (I),TOTAL,2016,10.53,11.29,13.72
Centro (I),TOTAL,2017,10.57,11.33,13.83
Centro (I),TOTAL,2018,10.61,11.36,13.74
Centro (I),TOTAL,2019,10.72,11.5,14.03
Centro (I),TOTAL,2020,10.98,11.73,14.54
Centro (I),TOTAL,2021,11.01,11.72,14.73
Centro (I),TOTAL INDUSTRY (b to f),2014,10.94,11.95,16.43
Centro (I),TOTAL INDUSTRY (b to f),2015,11.22,12.15,16.22
Centro (I),TOTAL INDUSTRY (b to f),2016,11.19,12.14,16.17
Centro (I),TOTAL INDUSTRY (b to f),2017,11.27,12.21,16.25
Centro (I),TOTAL INDUSTRY (b to f),2018,11.29,12.14,16.09
Centro (I),TOTAL INDUSTRY (b to f),2019,11.42,12.28,16.69
Centro (I),TOTAL INDUSTRY (b to f),2020,11.64,12.47,16.61
Centro (I),TOTAL INDUSTRY (b to f),2021,11.71,12.5,16.61
Centro (I),TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2014,10.99,12.42,17.23
Centro (I),TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2015,11.24,12.59,17.03
Centro (I),TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2016,11.22,12.56,16.92
Centro (I),TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2017,11.31,12.65,17.03
Centro (I),TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2018,11.33,12.56,16.8
Centro (I),TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2019,11.51,12.72,17.35
Centro (I),TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2020,11.73,12.91,17.32
Centro (I),TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2021,11.83,12.95,17.4
Centro (I),Mining and quarrying,2014,13.74,20.52,30.08
Centro (I),Mining and quarrying,2015,13.49,16.4,28.69
Centro (I),Mining and quarrying,2016,13.67,17.16,28.38
Centro (I),Mining and quarrying,2017,13.68,16.72,29.99
Centro (I),Mining and quarrying,2018,14.01,17.36,31.18
Centro (I),Mining and quarrying,2019,14.37,18.42,31.42
Centro (I),Mining and quarrying,2020,14.78,18.93,32.2
Centro (I),Mining and quarrying,2021,14.76,17.7,32.22
Centro (I),Manufacturing,2014,10.77,12.02,16.47
Centro (I),Manufacturing,2015,11.01,12.22,16.35
Centro (I),Manufacturing,2016,11.0,12.2,16.25
Centro (I),Manufacturing,2017,11.08,12.28,16.37
Centro (I),Manufacturing,2018,11.12,12.21,16.25
Centro (I),Manufacturing,2019,11.3,12.36,16.98
Centro (I),Manufacturing,2020,11.51,12.57,16.86
Centro (I),Manufacturing,2021,11.6,12.63,16.97
Centro (I),"Electricity, gas, steam and air conditioning supply",2014,18.65,20.64,22.91
Centro (I),"Electricity, gas, steam and air conditioning supply",2015,17.75,20.47,23.0
Centro (I),"Electricity, gas, steam and air conditioning supply",2016,17.35,20.43,23.27
Centro (I),"Electricity, gas, steam and air conditioning supply",2017,18.71,20.92,23.86
Centro (I),"Electricity, gas, steam and air conditioning supply",2018,18.42,20.79,23.82
Centro (I),"Electricity, gas, steam and air conditioning supply",2019,18.38,20.77,23.43
Centro (I),"Electricity, gas, steam and air conditioning supply",2020,18.78,20.99,23.87
Centro (I),"Electricity, gas, steam and air conditioning supply",2021,18.81,21.13,23.27
Centro (I),"Water supply sewerage, waste management and remediation activities",2014,14.61,15.23,17.24
Centro (I),"Water supply sewerage, waste management and remediation activities",2015,14.84,15.41,17.49
Centro (I),"Water supply sewerage, waste management and remediation activities",2016,14.69,15.35,17.57
Centro (I),"Water supply sewerage, waste management and remediation activities",2017,14.52,15.23,17.28
Centro (I),"Water supply sewerage, waste management and remediation activities",2018,14.36,14.98,16.61
Centro (I),"Water supply sewerage, waste management and remediation activities",2019,14.6,15.15,16.72
Centro (I),"Water supply sewerage, waste management and remediation activities",2020,14.6,15.15,16.72
Centro (I),"Water supply sewerage, waste management and remediation activities",2021,14.63,15.3,16.99
Centro (I),Construction,2014,10.86,10.9,12.62
Centro (I),Construction,2015,11.18,11.19,12.66
Centro (I),Construction,2016,11.14,11.18,12.74
Centro (I),Construction,2017,11.22,11.21,12.6
Centro (I),Construction,2018,11.23,11.2,12.63
Centro (I),Construction,2019,11.28,11.31,13.13
Centro (I),Construction,2020,11.48,11.44,12.82
Centro (I),Construction,2021,11.54,11.51,12.91
Centro (I),"Services (g to s, except o)",2014,10.12,10.97,13.38
Centro (I),"Services (g to s, except o)",2015,10.22,11.07,13.32
Centro (I),"Services (g to s, except o)",2016,10.22,11.06,13.29
Centro (I),"Services (g to s, except o)",2017,10.27,11.11,13.43
Centro (I),"Services (g to s, except o)",2018,10.32,11.16,13.37
Centro (I),"Services (g to s, except o)",2019,10.44,11.29,13.6
Centro (I),"Services (g to s, except o)",2020,10.64,11.53,14.17
Centro (I),"Services (g to s, except o)",2021,10.67,11.51,14.37
Centro (I),Wholesale and retail trade repair of motor vehicles and motorcycles,2014,10.92,11.19,13.27
Centro (I),Wholesale and retail trade repair of motor vehicles and motorcycles,2015,10.97,11.21,13.09
Centro (I),Wholesale and retail trade repair of motor vehicles and motorcycles,2016,11.07,11.35,13.3
Centro (I),Wholesale and retail trade repair of motor vehicles and motorcycles,2017,11.19,11.47,13.48
Centro (I),Wholesale and retail trade repair of motor vehicles and motorcycles,2018,11.29,11.61,13.59
Centro (I),Wholesale and retail trade repair of motor vehicles and motorcycles,2019,11.38,11.73,13.98
Centro (I),Wholesale and retail trade repair of motor vehicles and motorcycles,2020,11.51,11.92,14.16
Centro (I),Wholesale and retail trade repair of motor vehicles and motorcycles,2021,11.45,11.81,14.19
Centro (I),Transportation and storage,2014,11.02,13.43,14.7
Centro (I),Transportation and storage,2015,10.99,13.35,14.8
Centro (I),Transportation and storage,2016,11.05,13.22,14.69
Centro (I),Transportation and storage,2017,11.02,13.12,14.86
Centro (I),Transportation and storage,2018,11.17,13.24,15.25
Centro (I),Transportation and storage,2019,11.5,13.22,14.3
Centro (I),Transportation and storage,2020,11.81,13.56,15.64
Centro (I),Transportation and storage,2021,11.93,13.42,16.05
Centro (I),Accommodation and food service activities,2014,9.98,10.08,10.31
Centro (I),Accommodation and food service activities,2015,9.95,10.06,10.33
Centro (I),Accommodation and food service activities,2016,9.95,10.07,10.34
Centro (I),Accommodation and food service activities,2017,10.03,10.15,10.44
Centro (I),Accommodation and food service activities,2018,10.09,10.22,10.51
Centro (I),Accommodation and food service activities,2019,10.18,10.33,10.67
Centro (I),Accommodation and food service activities,2020,10.48,10.6,11.0
Centro (I),Accommodation and food service activities,2021,10.38,10.53,10.88
Centro (I),Information and communication,2014,13.33,14.54,16.46
Centro (I),Information and communication,2015,13.96,14.7,16.11
Centro (I),Information and communication,2016,13.12,14.11,15.75
Centro (I),Information and communication,2017,14.25,14.81,16.46
Centro (I),Information and communication,2018,13.65,14.49,16.09
Centro (I),Information and communication,2019,14.37,14.85,16.24
Centro (I),Information and communication,2020,15.0,15.16,16.93
Centro (I),Information and communication,2021,15.0,15.2,17.31
Centro (I),Financial and insurance activities,2014,21.0,23.27,22.05
Centro (I),Financial and insurance activities,2015,20.83,23.35,22.16
Centro (I),Financial and insurance activities,2016,20.8,23.35,22.03
Centro (I),Financial and insurance activities,2017,21.25,23.64,22.92
Centro (I),Financial and insurance activities,2018,20.86,23.37,23.07
Centro (I),Financial and insurance activities,2019,20.76,23.29,23.25
Centro (I),Financial and insurance activities,2020,21.62,23.99,23.97
Centro (I),Financial and insurance activities,2021,21.64,24.34,24.44
Centro (I),Real estate activities,2014,10.24,10.96,12.19
Centro (I),Real estate activities,2015,10.24,10.98,11.94
Centro (I),Real estate activities,2016,10.37,11.16,12.1
Centro (I),Real estate activities,2017,10.49,11.32,12.28
Centro (I),Real estate activities,2018,10.47,11.34,12.43
Centro (I),Real estate activities,2019,10.66,11.4,12.69
Centro (I),Real estate activities,2020,10.67,11.62,13.21
Centro (I),Real estate activities,2021,10.79,11.54,13.44
Centro (I),"Professional, scientific and technical activities",2014,10.11,11.04,14.18
Centro (I),"Professional, scientific and technical activities",2015,10.12,11.17,14.28
Centro (I),"Professional, scientific and technical activities",2016,10.42,11.44,14.71
Centro (I),"Professional, scientific and technical activities",2017,10.42,11.52,14.66
Centro (I),"Professional, scientific and technical activities",2018,10.22,11.49,14.69
Centro (I),"Professional, scientific and technical activities",2019,10.36,11.61,14.87
Centro (I),"Professional, scientific and technical activities",2020,10.63,11.9,15.38
Centro (I),"Professional, scientific and technical activities",2021,10.59,11.83,15.4
Centro (I),Administrative and support service activities,2014,9.11,9.79,11.05
Centro (I),Administrative and support service activities,2015,9.38,10.06,11.29
Centro (I),Administrative and support service activities,2016,9.36,10.0,11.24
Centro (I),Administrative and support service activities,2017,9.41,10.06,11.3
Centro (I),Administrative and support service activities,2018,9.37,10.07,11.44
Centro (I),Administrative and support service activities,2019,9.47,10.12,11.65
Centro (I),Administrative and support service activities,2020,9.57,10.25,11.93
Centro (I),Administrative and support service activities,2021,9.68,10.28,11.92
Centro (I),Education,2014,9.02,9.84,12.76
Centro (I),Education,2015,9.28,9.79,12.06
Centro (I),Education,2016,9.3,9.94,11.98
Centro (I),Education,2017,9.41,10.2,12.62
Centro (I),Education,2018,9.46,10.2,11.88
Centro (I),Education,2019,9.66,10.39,12.02
Centro (I),Education,2020,9.96,10.58,12.35
Centro (I),Education,2021,9.96,10.58,12.24
Centro (I),Human health and social work activities,2014,9.64,9.84,10.98
Centro (I),Human health and social work activities,2015,9.61,9.82,10.85
Centro (I),Human health and social work activities,2016,9.7,9.92,10.86
Centro (I),Human health and social work activities,2017,9.82,10.07,10.97
Centro (I),Human health and social work activities,2018,9.78,10.04,10.99
Centro (I),Human health and social work activities,2019,9.92,10.19,11.11
Centro (I),Human health and social work activities,2020,10.14,10.41,11.49
Centro (I),Human health and social work activities,2021,10.23,10.43,11.49
Centro (I),"Arts, entertainment and recreation",2014,9.99,10.47,10.98
Centro (I),"Arts, entertainment and recreation",2015,10.18,10.72,11.33
Centro (I),"Arts, entertainment and recreation",2016,10.08,10.67,11.32
Centro (I),"Arts, entertainment and recreation",2017,10.22,10.78,11.41
Centro (I),"Arts, entertainment and recreation",2018,10.21,10.76,11.41
Centro (I),"Arts, entertainment and recreation",2019,10.31,10.85,11.57
Centro (I),"Arts, entertainment and recreation",2020,10.36,11.02,11.93
Centro (I),"Arts, entertainment and recreation",2021,10.27,10.8,11.61
Centro (I),Other service activities,2014,7.88,8.25,9.69
Centro (I),Other service activities,2015,8.03,8.35,9.72
Centro (I),Other service activities,2016,8.1,8.4,9.81
Centro (I),Other service activities,2017,8.19,8.51,9.97
Centro (I),Other service activities,2018,8.19,8.52,9.94
Centro (I),Other service activities,2019,8.25,8.61,10.18
Centro (I),Other service activities,2020,8.39,8.71,10.46
Centro (I),Other service activities,2021,8.39,8.75,10.48
Sud,TOTAL,2014,9.67,10.24,11.86
Sud,TOTAL,2015,9.84,10.32,11.72
Sud,TOTAL,2016,9.87,10.37,11.71
Sud,TOTAL,2017,9.94,10.43,11.79
Sud,TOTAL,2018,9.94,10.44,11.81
Sud,TOTAL,2019,10.06,10.53,12.15
Sud,TOTAL,2020,10.3,10.77,12.35
Sud,TOTAL,2021,10.4,10.8,12.42
Sud,TOTAL INDUSTRY (b to f),2014,10.3,11.03,13.51
Sud,TOTAL INDUSTRY (b to f),2015,10.61,11.28,13.36
Sud,TOTAL INDUSTRY (b to f),2016,10.56,11.26,13.33
Sud,TOTAL INDUSTRY (b to f),2017,10.63,11.33,13.55
Sud,TOTAL INDUSTRY (b to f),2018,10.55,11.23,13.38
Sud,TOTAL INDUSTRY (b to f),2019,10.72,11.36,15.0
Sud,TOTAL INDUSTRY (b to f),2020,10.95,11.61,14.04
Sud,TOTAL INDUSTRY (b to f),2021,11.09,11.65,14.13
Sud,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2014,10.12,11.52,14.55
Sud,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2015,10.31,11.72,14.26
Sud,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2016,10.31,11.69,14.2
Sud,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2017,10.37,11.79,14.53
Sud,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2018,10.35,11.65,14.32
Sud,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2019,10.62,11.83,16.45
Sud,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2020,10.88,12.14,15.02
Sud,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2021,11.04,12.17,15.18
Sud,Mining and quarrying,2014,11.06,15.73,20.56
Sud,Mining and quarrying,2015,11.31,16.18,21.44
Sud,Mining and quarrying,2016,11.41,16.77,23.42
Sud,Mining and quarrying,2017,11.33,16.76,23.48
Sud,Mining and quarrying,2018,11.51,18.24,23.59
Sud,Mining and quarrying,2019,12.03,16.36,28.06
Sud,Mining and quarrying,2020,12.34,17.39,23.69
Sud,Mining and quarrying,2021,12.16,17.42,24.93
Sud,Manufacturing,2014,9.82,11.2,13.95
Sud,Manufacturing,2015,10.0,11.38,13.69
Sud,Manufacturing,2016,10.0,11.36,13.64
Sud,Manufacturing,2017,10.05,11.38,13.76
Sud,Manufacturing,2018,10.06,11.3,13.6
Sud,Manufacturing,2019,10.3,11.47,15.79
Sud,Manufacturing,2020,10.57,11.8,14.37
Sud,Manufacturing,2021,10.75,11.86,14.58
Sud,"Electricity, gas, steam and air conditioning supply",2014,18.04,20.07,20.49
Sud,"Electricity, gas, steam and air conditioning supply",2015,17.94,20.08,20.27
Sud,"Electricity, gas, steam and air conditioning supply",2016,15.87,20.08,20.38
Sud,"Electricity, gas, steam and air conditioning supply",2017,17.26,20.49,21.76
Sud,"Electricity, gas, steam and air conditioning supply",2018,15.95,20.17,20.96
Sud,"Electricity, gas, steam and air conditioning supply",2019,14.81,20.32,22.42
Sud,"Electricity, gas, steam and air conditioning supply",2020,15.9,20.46,20.94
Sud,"Electricity, gas, steam and air conditioning supply",2021,15.21,20.67,20.87
Sud,"Water supply sewerage, waste management and remediation activities",2014,13.96,14.02,16.33
Sud,"Water supply sewerage, waste management and remediation activities",2015,13.87,13.88,15.91
Sud,"Water supply sewerage, waste management and remediation activities",2016,13.74,13.77,15.96
Sud,"Water supply sewerage, waste management and remediation activities",2017,13.9,14.54,17.23
Sud,"Water supply sewerage, waste management and remediation activities",2018,13.39,14.14,17.0
Sud,"Water supply sewerage, waste management and remediation activities",2019,14.03,14.5,17.27
Sud,"Water supply sewerage, waste management and remediation activities",2020,13.94,14.31,17.05
Sud,"Water supply sewerage, waste management and remediation activities",2021,13.96,14.07,17.31
Sud,Construction,2014,10.48,10.27,11.38
Sud,Construction,2015,10.86,10.65,11.56
Sud,Construction,2016,10.8,10.59,11.58
Sud,Construction,2017,10.88,10.63,11.57
Sud,Construction,2018,10.78,10.5,11.43
Sud,Construction,2019,10.83,10.58,11.69
Sud,Construction,2020,11.01,10.74,11.77
Sud,Construction,2021,11.13,10.84,11.93
Sud,"Services (g to s, except o)",2014,9.32,10.02,11.52
Sud,"Services (g to s, except o)",2015,9.43,10.07,11.4
Sud,"Services (g to s, except o)",2016,9.51,10.15,11.4
Sud,"Services (g to s, except o)",2017,9.59,10.22,11.49
Sud,"Services (g to s, except o)",2018,9.62,10.26,11.56
Sud,"Services (g to s, except o)",2019,9.73,10.34,11.72
Sud,"Services (g to s, except o)",2020,9.94,10.56,12.08
Sud,"Services (g to s, except o)",2021,10.0,10.58,12.11
Sud,Wholesale and retail trade repair of motor vehicles and motorcycles,2014,9.45,10.09,11.19
Sud,Wholesale and retail trade repair of motor vehicles and motorcycles,2015,9.57,10.11,11.08
Sud,Wholesale and retail trade repair of motor vehicles and motorcycles,2016,9.69,10.27,11.27
Sud,Wholesale and retail trade repair of motor vehicles and motorcycles,2017,9.82,10.42,11.42
Sud,Wholesale and retail trade repair of motor vehicles and motorcycles,2018,9.87,10.51,11.64
Sud,Wholesale and retail trade repair of motor vehicles and motorcycles,2019,9.99,10.57,11.88
Sud,Wholesale and retail trade repair of motor vehicles and motorcycles,2020,10.09,10.73,12.1
Sud,Wholesale and retail trade repair of motor vehicles and motorcycles,2021,10.17,10.72,12.13
Sud,Transportation and storage,2014,10.56,13.32,13.92
Sud,Transportation and storage,2015,10.59,13.21,13.92
Sud,Transportation and storage,2016,10.72,13.12,13.82
Sud,Transportation and storage,2017,10.73,12.79,13.62
Sud,Transportation and storage,2018,10.93,12.65,14.02
Sud,Transportation and storage,2019,11.12,12.53,13.99
Sud,Transportation and storage,2020,11.53,12.79,14.5
Sud,Transportation and storage,2021,11.43,12.51,14.97
Sud,Accommodation and food service activities,2014,9.25,9.42,9.62
Sud,Accommodation and food service activities,2015,9.31,9.46,9.69
Sud,Accommodation and food service activities,2016,9.33,9.47,9.74
Sud,Accommodation and food service activities,2017,9.39,9.55,9.81
Sud,Accommodation and food service activities,2018,9.42,9.6,9.9
Sud,Accommodation and food service activities,2019,9.52,9.72,10.03
Sud,Accommodation and food service activities,2020,9.77,9.98,10.25
Sud,Accommodation and food service activities,2021,9.75,9.97,10.18
Sud,Information and communication,2014,9.92,12.1,12.91
Sud,Information and communication,2015,9.89,12.11,12.71
Sud,Information and communication,2016,10.05,12.22,12.71
Sud,Information and communication,2017,10.25,12.15,12.92
Sud,Information and communication,2018,10.53,12.26,12.9
Sud,Information and communication,2019,10.35,12.3,13.37
Sud,Information and communication,2020,10.85,12.46,13.31
Sud,Information and communication,2021,11.78,12.61,13.57
Sud,Financial and insurance activities,2014,18.63,21.57,20.15
Sud,Financial and insurance activities,2015,18.68,21.28,20.27
Sud,Financial and insurance activities,2016,18.47,21.48,20.48
Sud,Financial and insurance activities,2017,18.0,21.51,20.69
Sud,Financial and insurance activities,2018,17.76,21.35,20.54
Sud,Financial and insurance activities,2019,16.91,21.87,20.65
Sud,Financial and insurance activities,2020,18.17,21.56,21.01
Sud,Financial and insurance activities,2021,18.86,22.32,21.73
Sud,Real estate activities,2014,9.31,9.95,10.69
Sud,Real estate activities,2015,9.44,9.88,10.37
Sud,Real estate activities,2016,9.62,10.09,10.55
Sud,Real estate activities,2017,9.85,10.28,10.72
Sud,Real estate activities,2018,9.81,10.25,10.7
Sud,Real estate activities,2019,9.86,10.3,10.89
Sud,Real estate activities,2020,10.17,10.52,10.92
Sud,Real estate activities,2021,10.17,10.51,10.89
Sud,"Professional, scientific and technical activities",2014,8.76,9.57,10.68
Sud,"Professional, scientific and technical activities",2015,8.8,9.57,10.52
Sud,"Professional, scientific and technical activities",2016,9.25,9.99,10.87
Sud,"Professional, scientific and technical activities",2017,9.51,10.22,11.1
Sud,"Professional, scientific and technical activities",2018,9.05,10.09,10.98
Sud,"Professional, scientific and technical activities",2019,9.1,10.21,11.23
Sud,"Professional, scientific and technical activities",2020,9.6,10.54,11.6
Sud,"Professional, scientific and technical activities",2021,9.33,10.39,11.48
Sud,Administrative and support service activities,2014,8.85,9.67,10.48
Sud,Administrative and support service activities,2015,9.0,9.94,10.61
Sud,Administrative and support service activities,2016,9.08,9.88,10.59
Sud,Administrative and support service activities,2017,9.12,9.99,10.75
Sud,Administrative and support service activities,2018,9.05,10.02,10.93
Sud,Administrative and support service activities,2019,9.19,10.03,11.02
Sud,Administrative and support service activities,2020,9.17,10.09,11.11
Sud,Administrative and support service activities,2021,9.39,10.26,11.31
Sud,Education,2014,8.47,9.1,10.98
Sud,Education,2015,8.39,9.04,10.52
Sud,Education,2016,8.49,8.97,9.91
Sud,Education,2017,8.62,9.1,10.77
Sud,Education,2018,8.62,9.22,10.44
Sud,Education,2019,8.75,9.22,10.3
Sud,Education,2020,9.05,9.44,10.78
Sud,Education,2021,9.04,9.42,10.65
Sud,Human health and social work activities,2014,9.57,9.78,11.91
Sud,Human health and social work activities,2015,9.52,9.75,11.51
Sud,Human health and social work activities,2016,9.55,9.8,11.29
Sud,Human health and social work activities,2017,9.73,9.97,11.45
Sud,Human health and social work activities,2018,9.74,10.0,11.42
Sud,Human health and social work activities,2019,9.83,10.09,11.46
Sud,Human health and social work activities,2020,10.16,10.38,11.92
Sud,Human health and social work activities,2021,10.29,10.42,11.89
Sud,"Arts, entertainment and recreation",2014,9.03,9.35,9.75
Sud,"Arts, entertainment and recreation",2015,9.25,9.6,9.85
Sud,"Arts, entertainment and recreation",2016,9.24,9.58,9.81
Sud,"Arts, entertainment and recreation",2017,9.24,9.62,10.0
Sud,"Arts, entertainment and recreation",2018,9.2,9.79,10.18
Sud,"Arts, entertainment and recreation",2019,9.17,9.89,10.5
Sud,"Arts, entertainment and recreation",2020,9.42,9.95,10.4
Sud,"Arts, entertainment and recreation",2021,9.38,10.05,10.62
Sud,Other service activities,2014,7.77,7.94,9.68
Sud,Other service activities,2015,7.88,8.04,9.75
Sud,Other service activities,2016,7.97,8.12,9.63
Sud,Other service activities,2017,8.02,8.17,9.64
Sud,Other service activities,2018,8.05,8.12,9.53
Sud,Other service activities,2019,8.09,8.14,9.59
Sud,Other service activities,2020,8.27,8.38,10.45
Sud,Other service activities,2021,8.33,8.43,10.5
