Area,Economic activity,Time period,"Hourly wage no educational degree, primary and lower secondary school certificate (€)",Hourly wage upper and post secondary (€),"Hourly wage tertiary (university, doctoral and specialization courses) (€)"
Nord-ovest,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2017,12.82,14.53,19.42
Nord-ovest,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2018,12.9,14.65,19.54
Nord-ovest,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2019,13.01,14.73,19.28
Nord-ovest,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2020,13.17,14.88,19.87
Nord-ovest,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2021,13.27,14.96,20.05
Nord-ovest,Mining and quarrying,2014,13.39,21.33,30.27
Nord-ovest,Mining and quarrying,2015,13.62,21.16,30.75
Nord-ovest,Mining and quarrying,2016,13.59,22.02,30.45
Nord-ovest,Mining and quarrying,2017,13.68,21.34,29.43
Nord-ovest,Mining and quarrying,2018,13.68,21.86,31.22
Nord-ovest,Mining and quarrying,2019,14.38,24.83,31.1
Nord-ovest,Mining and quarrying,2020,14.07,21.81,31.11
Nord-ovest,Mining and quarrying,2021,14.42,21.53,30.9
Nord-ovest,Manufacturing,2014,12.42,14.05,19.03
Nord-ovest,Manufacturing,2015,12.65,14.23,18.99
Nord-ovest,Manufacturing,2016,12.64,14.27,19.05
Nord-ovest,Manufacturing,2017,12.73,14.36,19.16
Nord-ovest,Manufacturing,2018,12.8,14.48,19.28
Nord-ovest,Manufacturing,2019,12.91,14.56,19.09
Nord-ovest,Manufacturing,2020,13.08,14.72,19.68
Nord-ovest,Manufacturing,2021,13.19,14.82,19.84
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2014,18.13,19.94,24.16
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2015,18.12,19.85,23.36
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2016,17.85,19.94,23.04
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2017,17.93,20.02,23.47
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2018,18.13,20.28,23.62
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2019,18.05,20.16,23.07
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2020,18.06,20.19,23.45
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2021,18.27,20.42,23.68
Nord-ovest,"Water supply sewerage, waste management and remediation activities",2014,14.61,15.39,17.23
Nord-ovest,"Water supply sewerage, waste management and remediation activities",2015,14.76,15.53,17.36
Nord-ovest,"Water supply sewerage, waste management and remediation activities",2016,14.57,15.53,17.56
Nord-ovest,"Water supply sewerage, waste management and remediation activities",2017,14.34,15.31,17.23
Nord-ovest,"Water supply sewerage, waste management and remediation activities",2018,14.42,15.43,17.24
Nord-ovest,"Water supply sewerage, waste management and remediation activities",2019,14.61,15.61,17.22
Nord-ovest,"Water supply sewerage, waste management and remediation activities",2020,14.53,15.47,17.22
Nord-ovest,"Water supply sewerage, waste management and remediation activities",2021,14.48,15.38,17.36
Nord-ovest,Construction,2014,11.3,11.57,13.83
Nord-ovest,Construction,2015,11.63,11.87,14.12
Nord-ovest,Construction,2016,11.58,11.84,14.19
Nord-ovest,Construction,2017,11.63,11.89,14.36
Nord-ovest,Construction,2018,11.65,12.0,15.32
Nord-ovest,Construction,2019,11.73,12.14,14.95
Nord-ovest,Construction,2020,11.94,12.33,15.58
Nord-ovest,Construction,2021,12.0,12.44,15.45
Nord-ovest,"Services (g to s, except o)",2014,10.3,11.6,14.54
Nord-ovest,"Services (g to s, except o)",2015,10.44,11.72,14.51
Nord-ovest,"Services (g to s, except o)",2016,10.42,11.72,14.57
Nord-ovest,"Services (g to s, except o)",2017,10.47,11.72,14.59
Nord-ovest,"Services (g to s, except o)",2018,10.45,11.73,14.75
Nord-ovest,"Services (g to s, except o)",2019,10.54,11.83,14.8
Nord-ovest,"Services (g to s, except o)",2020,10.88,12.24,15.65
