Area,Economic activity,Time period,Hourly wage for temporary employees (€),Hourly wage for permanent employees (€)
Nord-ovest,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2014,10.45,13.85
Nord-ovest,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2015,10.75,13.97
Nord-ovest,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2016,10.57,14.04
Nord-ovest,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2017,10.52,14.28
Nord-ovest,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2018,10.55,14.44
Nord-ovest,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2019,10.61,14.47
Nord-ovest,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2020,10.64,14.59
Nord-ovest,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2021,10.65,14.79
Nord-ovest,Mining and quarrying,2014,13.2,21.56
Nord-ovest,Mining and quarrying,2015,13.84,21.51
Nord-ovest,Mining and quarrying,2016,12.57,21.98
Nord-ovest,Mining and quarrying,2017,12.5,22.07
Nord-ovest,Mining and quarrying,2018,12.36,23.14
Nord-ovest,Mining and quarrying,2019,12.81,23.72
Nord-ovest,Mining and quarrying,2020,12.87,22.91
Nord-ovest,Mining and quarrying,2021,12.64,23.14
Nord-ovest,Manufacturing,2014,10.42,13.65
Nord-ovest,Manufacturing,2015,10.69,13.8
Nord-ovest,Manufacturing,2016,10.53,13.86
Nord-ovest,Manufacturing,2017,10.49,14.1
Nord-ovest,Manufacturing,2018,10.52,14.27
Nord-ovest,Manufacturing,2019,10.57,14.3
Nord-ovest,Manufacturing,2020,10.6,14.43
Nord-ovest,Manufacturing,2021,10.62,14.64
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2014,11.69,20.2
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2015,11.74,20.13
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2016,11.6,20.13
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2017,11.13,20.44
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2018,11.78,20.72
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2019,12.1,20.56
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2020,11.71,20.64
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2021,11.73,20.96
Nord-ovest,"Water supply sewerage, waste management and remediation activities",2014,10.9,15.35
Nord-ovest,"Water supply sewerage, waste management and remediation activities",2015,11.35,15.47
Nord-ovest,"Water supply sewerage, waste management and remediation activities",2016,11.17,15.36
Nord-ovest,"Water supply sewerage, waste management and remediation activities",2017,10.8,15.25
